,name,grape_variety,description
37,Majestic Loves Chardonnay 2019,Chardonnay,"A real gem, our Majestic Loves Chardonnay is produced by decades-old vines in the Robertson area of South Africa. Expect plenty of fresh citrus, lime and tropical flavours. A superb choice with poultry."
38,Gabb Family Chardonnay 2020,Chardonnay,Situated in the most Southerly part of Stellenbosch the cooler climate of the vineyards produces a premium wine with rich and complex flavours of Vanilla and butterscoth balanced by a fresh citrus finish.
39,Errazuriz Sauvignon Blanc 2020 Casablanca Valley,Sauvignon Blanc,"Don Maximiano Errázuriz was a driven man. In 1870, he spent two days straight on horseback, travelling 100km north of Santiago on a quest to find a terroir he felt did justice to Chile’s wild spirit. In the shadow of the mountains at Acoucagua Valley, he found it. Maximiano was the first to introduce French grapes to the valley, founding a family winery which is still flourishing nearly 150 years later. This lip-smacking Sauvignon Blanc is a great example of his foresight. It’s grown just a few kilometres inland of the Pacific, and the sea has a big imapct on flavour. Freshness is the watchword here. It’s crisp. It’s zingy. But it’s also ripe with those delicious gooseberry and passion fruit flavours we love in a Sauvignon. It’s incredible with ceviche – or tangy, dairy-based dishes."
40,"Santa Rita 'Medalla Real' Cabernet Sauvignon 2018, Maipo Valley",Cabernet Sauvignon,"Santa Rita was founded in 1880, by Mr. Domingo Fernández Concha. Each lot is individually vinified at its peak of ripeness and aged in French oak barrels. Deep, ripe ruby red in colour with a nose of blackcurrant, menthol and toasty vanilla notes. Rich, ripe almost sweet tannins and a long length. Enjoy with spicy red meats, venison and goose."
41,Vieux Remparts Lussac St Emilion Magnum 2016,Cabernet Sauvignon,"Lussac is one of five villages to the northeast of St-Emilion with the right to add that name to their own. Lussac makes excellent 'satellite' wines, slightly more rustic than its big brother, but rounded and with great charm."
42,Château Tour Haut Caussan 2012,Cabernet Sauvignon,Rated by Robert Parker as producing wines of 5th growth quality in the best year this is powerful with ripe blackcurrant fruit flavours followed by notes of vanilla and cedar.
43,Domaine Jean-Max Roger ‘Cuvée Genese’ Sancerre 2019,Sauvignon Blanc,"Jean-Max Roger began with just four hectares of vines. In the 50 years since, he's consistently produced sensational Sauvignon Blanc, and his winery is now one of Sancerre's finest. Today, he and his two sons pick each grape by hand on sustainably-run vineyards. This wine is then only released when the Rogers deem it ready. And the attention to detail shines in every sip. This is a remarkably fresh and complex Sancerre. Pair its notes of citrus and white flowers and long, flavoursome finish with white fish."
44,"Domaine du Vaux St Georges Sauvignon Blanc 2019, Touraine",Sauvignon Blanc,"Domaine du Vaux St Georges offers a fantastic terroir of flinty sands, close to the Cher river. The influence of which, gives fantastic crispness to their grapes, creating some of the best that Touraine has to offer. A pale yellow juice boasts aromas of citrus, elderflower and a note of cedar. True to its exquisite background, the finish is long and balanced. A true summer's refresher Fantastic as an aperitif, or enjoy with a wide variety of fish."
45,"Duckhorn Vineyards Chardonnay 2018, Napa Valley",Chardonnay,"Duckhorn Vineyards was one of the first forty wineries established in Napa Valley. The area has a stellar reputation for a reason – its vineyards are the first place to look for grapes of outstanding quality. Napa is inland and has higher temperatures than neighbouring coastal regions. These conditions make Chardonnay particularly rich and fruity. Think white peaches, blossom and creamy lemon flavours. This is a complex, textured white with. the subtle sweetness of French oak. It’s a sumptuous wine that will elevate a simple roast chicken to something really special."
46,Pol Roger 'Sir Winston Churchill' Champagne,Chardonnay,"The clue's in the name. Pol Roger created this in tribute to Winston Churchill in the style of the 1928 vintage, one of his personal favourites. It's made exclusively from Grand Cru Chardonnay and Pinot Noir vineyards that were under vine in his lifetime. This is robust, full-bodied and rich, with a capacity to age for decades. It's so delicious, the family behind it keep the recipe top-secret. A fitting tribute to one of Britain's most prominent figures. Drink with oysters."
