,name,grape_variety,description
394,Definition Pauillac 2015,Cabernet Sauvignon,"The Definition range brings essential elements of the world's greatest wine styles to Majestic customers. Pauillac where you'll find some of Bordeaux's finest reds. So to create the Definition, we went to one of the most prestigious Châteaux in the appellation. This is medium-to-full-bodied, with ripe notes of black fruit, fine tannins and a long finish. Drink now with red meat or cellar for five years."
395,"Jackson Estate 'Somerset' Sauvignon Blanc 2019, Marlborough",Sauvignon Blanc,"Only a few hundred cases of Jackson Estate's Somerset Sauvignon Blanc are made each year from a small, hand-harvested single vineyard in the Waihopai Valley. Full of personality, this is a distinctive style of Sauvignon Blanc with concentrated lime and gooseberry flavours, a mineral complexity and a lasting finish"
396,Ropiteau Frères Chassagne-Montrachet 2018,Chardonnay,"In 1848, Jean Ropiteau saw opportunity. The arrival of Meursault's first railway meant that he could make his white Burgundy successful all over the world. So he bought his own winery and began making oak barrels. Today, this estate makes some of Burgundy's most respected wines. It really shows in this Chassagne-Montrachet. It's bold, rich and ripe, with flavours of stone fruit, honeysuckle and buttery almond. Serve at 12-13 degrees and pair with East Asian food."
397,"Famille Brocard Chablis Grand Cru 2013, Blanchot",Chardonnay,"This Chablis is made by a father-and-son winemaking duo on the grand-cru climat of Blanchot. Wines made here are truly distinct, showing a lighter style with excellent minerality. This is a fruity, crisp Chablis, with flavours of citrus, white flowers and white pepper. Serve chilled with white fish."
398,"Domaine Robert Sirugue 'Les Trois Terroirs' 2018, Vosne-Romanée",Pinot Noir,Vosne-Romanée is a region internationally renowned for its smooth and silky red Burgundy. This is made on three areas of the region specifically selected for their characteristic structure and elegance. Ripe red fruit and spices are the main notes in this excellent Pinot Noir. It will develop aromas of forest floor and leather as it ages over ten years. Divine at 14-16 degrees with roasted lamb.
399,Domaine Joly Puligny-Montrachet 2019,Chardonnay,"Domaine Joly have a strong historical presence in Burgundy. Their distinct style is clean and pure Puligny-Montrachet with a delicious edge. This has flavours of hazelnut and stone fruit, and a clean, pure finish. Its great structure shows potential ageing. Serve at 10-13 degrees with white fish or cellar for ten years."
400,Colle Massari 'Grattamacco 35th Anniversary' Bolgheri Superiore 2018,Cabernet Sauvignon,"Grattamacco only began in 1977, but they're is already putting Bolgheri on the map. This Cabernet blend is their magnum opus. It shows notes of blackcurrant with a nose of Mediterranean herbs. Expect a taut and balsamic finish in this elegant wine. Decant for an hour and enjoy at room temperature with grilled fillet steak."
401,Domaine Georges Lignier et Fils Volnay Premier Cru 2017,Pinot Noir,"Georges Lignier inherited a few vines from his father at the turn of the last century. Today, this domaine is in the hands of his grandson, George Jnr, and it continues on its upward trajectory. This is made from Premier Cru vineyards in Volnay, the village known for some of the smoothest red Burgundy going. Expect a perfume of sweet cherry and raspberry fruit with a touch of spice and smoke from oak ageing. The finish is long and complex. Sublime at 18 degrees with roast pork. Will develop over seven years."
402,Domaine Chavy-Chouet ‘Clos de Corvées de Citeau’ Meursault 2019,Chardonnay,"Romaric Chavy began making wine at the ripe old age of 12. He took over Domaine Chavy-Chouet at just 22 years of age. And he's been creating excellent wines ever since. This Meursault is named after the vineyard surrounded by tall walls that was once owned by Cistercian monks. Expect a bouquet of yellow stone fruit, buttered apples and hazelnut. Serving at 10-12°C. Enjoy now or develop for ten years."
403,"Marisco 'The King's Desire' Pinot Noir Rosé 2020, Marlborough",Pinot Noir,"Brent Marris is the man behind our best-selling white wine. He's also the distant relative of one of King Henry I rumoured illegitimate children. The red-fruit notes in this Provence-style, 100% Pinot Noir rosé are rich, complex and fine - it's a worthy tribute to a rightful legacy of royalty."
404,Dom Ruinart Rosé 2007,Chardonnay,"Ruinart was the first house to create Rosé Champagne. This was almost 300 years ago. Today, their signature is a high proportion of Chardonnay, and this brings an excellent freshness to flavours of blood orange, roses and cream. It has a complexity that'll only improve with age and will pair well now with seared scallops. A fantastic vintage that Decanter's Yohann Castaing gave 96 points."
405,Mud House Pinot Noir 2019 Central Otago,Pinot Noir,"Central Otago is the central part of New Zealand's south island, and with its free-draining loam and gravel soils and wide diurnal temperature variation, it has become known for superb Pinot Noir. This is a single-vineyard wine from Otago's sub-region of Bendigo. An intense and powerful Pinot, full of bright red cherry and darker bramble fruit, layered with gentle notes of mocha and spice. Finely balanced tannin and acidity provide great grip and length. Enjoy with duck or lamb."
406,Louis Latour Bourgogne Pinot Noir 2019,Pinot Noir,"Wine has been made in the Bourgogne for nearly two millennia, and Pinot Noir has been made here since the twelfth century. Pinot’s a really sensitive grape – it reflects the tiniest of variations in the soil or exposure – and it really loves the limestone soils of Burgundy. Suffice to say, over the centuries, Pinot and the Bourgogne have become so intertwined, from here it’s as close to perfect as the wine can get. Louis Latour are similarly a Burgundian institution – the label to look to for reliably high-quality wines. This Bourgogne Pinot Noir is a case in point. Bright. Fresh. Savoury. It’s full of those red cherry, raspberry flavours which are textbook Pinot. And because it’s not from a designated appellation, it’s a complete steal for the quality. With a rack of lamb, it’ll sing."
407,"Santenay 'Vieilles Vignes' Rouge 2017 Girardin Père et Fils, Burgundy",Pinot Noir,"This Pinot Noir is made from 45-year-old vines in Santenay, the village in which the founder of the winery, Vincent Girardin, was born. Aged in oak for 14 months on character-building lees, the 'Vieilles Vignes' is exceptionally well structured, with notes of strawberry and plum chased by a long, smooth finish."
408,"Domaine de Ladoucette 'Comte Lafond' Sancerre 2019, Loire Valley",Sauvignon Blanc,"Domaines de Ladoucette are known for producing some of the world's finest Sauvignon Blanc. They made their name by creating Pouilly-Fumé but also make smaller amounts of exceptional Sancerre. This is an intense, mineral wine, with notes of grapefruit, pear, peach and gunflint. Serve it at 6-10 degrees with grilled fish."
409,Domaine L. Chatelain Chablis 2018,Chardonnay,A sip of this Chablis is like taking a bite of a Granny Smith apple. It’s intensely refreshing – so crisp and citrussy that you can’t help going back for a second glass. Domaine Chatelain are known for this classic style for good reason. We love it with oysters.
410,"Greywacke Sauvignon Blanc 2020, Marlborough",Sauvignon Blanc,"The first single vineyard Sauvignon Blanc at Cloudy Bay was called Cloudy Bay Greywacke Vineyard. It was then that winemaker Kevin Judd registered the name Greywacke – just in case he ever needed it in the future. It was sixteen years before he would. By then, Kevin – founding winemaker at Cloudy Bay – had almost single-handedly put Marlborough on the map. Greywacke is Kevin’s passion-project, his opportunity to make a style of Sauvignon which is much lighter than the typical herbaceous, tropical Marlborough style. He describes this as tasting like a sponge cake with lemon icing. Crisp. Ripe. Juicy. It’s deliciously peachy, with flavours of melon and blackcurrant. Perfect with smoked salmon."
411,"Dourthe Réserve Sauvignon Blanc 2019, Bordeaux",Sauvignon Blanc,"Bordeaux Sauvignon is a far cry from its Marlborough counterparts. The Dourthe Réserve is a prime example of its elegant, restrained nature. It's layers of passion fruit and citrus and it's lip-smacking minerality lead a crisp, thirst-quenching finish."
412,"Edna Valley Chardonnay 2018, Central Coast",Chardonnay,"Edna Valley Vineyard is just a stone’s throw from the Pacific – and it’s an enclave of top-quality Chardonnay. But without the name recognition of big-hitting regions like Napa and Sonoma, Edna Valley is the place to look for quality – and value. In fact, Chardonnay was the first varietal to ever be planted in the valley by Jack Niven, the man who founded both the vineyard, and the Edna Valley AVA itself. This is really classy wine, blending Edna-grown grapes with choice plots from Monterey and Santa Barbara. White Peach. Apricot. Melon. The flavours are seriously ripe, but it’s still deliciously crisp and refreshing. A touch of oak rounds out the edges and gives it a subtle spiciness which is really moreish. Perfect to dress up simple pumpkin ravioli."
413,"Château de Sainte Gemme 2013, Haut-Médoc",Cabernet Sauvignon,"Château de Sainte Gemme is a big name in Haut-Médoc. In 1981, the Bouteiller family, owners of Chateau Lanessan, bought it and set their winemaking team to work on the vines. This wine has won the silver medal at the International Wine and Spirits Competition. And it will develop excellently with age. This is a ripe and fruity style of Bordeaux, with notes of black cherries, a full body and a long, smooth finish. Try this with roast beef."
414,"Balfour 'The Suitcase' Pinot Noir 2018, Kent",Pinot Noir,"It's said that in the '60's, cuttings from some of Burgundy's most coveted vines were smuggled into the U.S where they were coined 'suitcase clones'. In homage to this history, Balfour have made this wine using a Burgundy clone grape. While they can be notoriously difficult to grow, these vines deliver small, precious yields of fine grapes, brimming with flavour. Expect aromas of cherry, strawberry and chocolate."
415,"Nyetimber Sparkling Rosé, England",Chardonnay,"West Sussex's Nyetimber have established themselves as one of England's top sparkling wine houses. Their world class wines even rival (and often beat in blind tastings) the big names of Champagne. Their rosé is a beautiful sunset pink colour, with aromas of fresh red fruit and intriguing notes of lavender. The palate has a creamy round texture with refreshing raspberry and cherry flavours. Fantastic for all special occasions."
416,"Château Recougne Blanc 2018, Bordeaux",Sauvignon Blanc,"Château Recougne's is our best-selling claret. We're very rarely able to secure its delicious white (' Bordeaux Blanc' is just 7% of the region's produce). However, one a year we get a small parcel. If you're quick you can enjoy this mouth watering hit of green apple, honeysuckle and pear! This wine is bone dry and elegant with a zesty edge to the flavours of grapefruit and green apple. Extra body and roundness is added by the Semillon. This wine will be perfect with soft cheeses."
417,Puligny-Montrachet 1er Cru Clos de la Mouchere 2015 Domaine Henri Boillot,Chardonnay,"This wonderfully complex and elegant wine is part of Henri Boillot's domaine range, from a 4-hectare clos within Puligny-Montrachet of which Boillot now has exclusive ownership. Barrel fermented but without battonage, the wine is a fresh and pure representation of this 1er Cru, offering remarkable precision and elegance of structure."
418,"Mon Plaisir De La Vallee, Sauvignon Blanc, VdF 2018",Sauvignon Blanc,This vibrant and fresh wine is ideal for the summer months. Packed with citrus and tropical fruit flavours it really pack a punch.
419,"Domaine de la Métairie dAlon Pinot Noir 2017, Languedoc",Pinot Noir,"Barrel-aged, seriously pampered and indistinguishable from Burgundian brilliance, this is top-shelf Pinot Noir from Abbotts & Delaunay, a Majestic favourite. Expect seductive aromas of fresh mint, violet and bramble alongside flesh red fruits on the palate and shades of cocoa and oak spice."
420,Winemaker Series Chardonnay 2018,Chardonnay,"Some of Majestic customer's favourite winemakers were ask to craft a unique wine. The Chardonnay has a rich textured palate of pear, white peach and bright citrus notes is tickled gently with honey aromas for a layered, complex sip."
421,Chapel Down English Rose NV England,Pinot Noir,"This elegant sparkling wine from the excellent Chapel Down winery is made using the traditional method, from a blend of grapes that thrive in the cool climes of Kent. Slight hints of rose petals and a soft strawberry character, this crisp, medium bodied sparkling wine also has a citrus streak and fine, persistent bubbles. Smoked salmon is a fantastic match to this wine, along with crab salad."
422,Penfolds Reserve Bin A Chardonnay 2014 Adelaide Hills,Chardonnay,"Since its first vintage in 1994, Reserve Bin A has been sourced purely from Adelaide Hills fruit, from up to 80 vineyards and produced only when conditions are perfect. Reserve Bin A is notable for intense, elegant fruit flavours and distinctive complexity. Individual, fine-grained, French oak barrels have been selected for perfect integration, complexity, and fruit expression, producing an unmistakably rich wine."
423,Russian Jack Sauvignon Blanc 2020 Marlborough,Sauvignon Blanc,"European settlers arrived in New Zealand in only 1840 – and ‘swaggers’ set about clearing scrub from regions we think of today as winemaking hubs. Russian Jack was one of these gentlemen of the road. He’d appear on farms at harvest time to pick fruit, well into his old age. He became a bit of a legend – there’s even a statue in his memory. Like its namesake, this wine is a bit special. It’s made with grapes from certified sustainable vineyards, and there is no compromise on quality. Every vintage has only one bottling, with the wine left on its lees to concentrate the flavours and round out the texture. Passionfruit. Elderflower. Gooseberry. It’s seriously aromatic – and seriously mouthwatering. And with such bold flavours, it’s perfect with Thai-style fishcakes."
424,"Saintsbury Chardonnay 2013, Caneros",Chardonnay,"A complex, balanced Burgundy-style Chardonnay from the winery that put Caneros on the wine world map. It's tropical, nutty and balanced, with notes of apple compote and pear. It's deliciously fresh when young but will age excellently for three years. Best served lightly chilled."
425,Morande M Pinot Noir 2018,Pinot Noir,"The Belén Estate in Chile's Casablanca Valley is perfect for growing grapes that make fresh, fruit driven wines. The clay and granite soils are not too fertile and the maritime influences allows the grapes to ripen slowly retaining delicious fruit flavours. The nose of this wine is full of fresh red fruit aromas and these are represented on the palate as well but with added hints of clove, chocolate and coffee. This would be best with roast duck."
426,Z de Thienpont 2012,Cabernet Sauvignon,"True to Left Bank Bordeaux style, this tipple's a Merlot-based blend. A bouquet of bright forest fruits shine through notes of clove and sweet spices. With a never-ending finish, pair beautifully with red meats or cured cheeses."
427,Louis Latour Volnay Les Mitans,Pinot Noir,"Sitting between Pommard and Meursault, Volnay is the village of Burgundy known for some of the smoothest, most delicate Pinot Noir in the world. 'Les Mitans', from winemaking royalty Louis Latour, is sublimely elegant and emits roasted aromas of cherry, coconut and mocha."
428,Borgougne Chardonnay La Chablisienne,Chardonnay,"Founded back in 1923 and still going strong, it is said that they oversee approximately one-quarter of the region?s production, around 300 individual growers. Therefore, just like Georges Duboeuf in Beaujolais or Louis Jadot in the Cote d?Or, it is important that they maintain standards irrespective of high volumes, since their size ensures that they have an ambassadorial role for Chablis, for ordinary punters perhaps seeking to broaden their horizons."""
429,Domaine Dutron Pouilly-Fuisse Les Vignes de Chateau 2016,Chardonnay,"You'll know once you taste its delicious minerality that this is a classic Pouilly-Fuissé. Its generous hints of acacia, yellow apple, citrus fruits and white flowers meet a curious spiciness. Wine Enthusiast's Roger Voss gave this 2016 vintage 91 points."
430,Domaine Foucher Menetou Salon 2019,Sauvignon Blanc,Showing an impressive concentration of herbaceous and citrus aromas on the nose the palate displays a real intensity of gooseberry and grapefruit characters. Crisp acidity makes this a clean and refreshing wine
431,"Hanna Chardonnay 2018, Sonoma County",Chardonnay,"In 1985 world-famous cardiac surgeon Dr. Elias Hanna founded the Hanna winery. He quickly became an iconic winemaker. And his daughter, Christine, today leads the way with this complex, elegant Chardonnay. Expect notes of tropical fruit, caramel and vanilla. Serve this at 10-13 degrees with roast chicken."
432,Yerring Estate Chardonnay,Chardonnay,"Rich with a cutting acidity, Yering Station'91-Decanter-point Estate Chardonnay is ideal to pair with the cheeseboard. It's a luxurious bouquet of buttercups, white flowers, stone fruit and nutty oak."
433,"Penfolds 'Bin 389' Cabernet-Shiraz 2018, Australia",Cabernet Sauvignon,"Penfolds are one of Australia's most-awarded producers. This is nicknamed 'Baby Grange' by them, as it's matured in the barrels that aged the last vintage of their top wine. It's a blend of Cabernet Sauvignon and Shiraz that has notes of black fruit, coconut and vanilla. Try this with a burger."
434,"Casella Family 'Limited Release' Cabernet Sauvignon 2013, Wrattonbully",Cabernet Sauvignon,"Made from exceptional parcels of grapes, the Casella family's 'Limited Release' range aims to show the ability of Australia's best wine regions. This was made in in the up-and-coming Wrattonbully region. Here, a cool climate gives grapes a luxurious ripening period, resulting in a deep, rich Cabernet Sauvignon with soft, fine tannins. This has notes of blackcurrant, vanilla and cedar. Decant for an hour and serve at room temperature with lamb or cellar for a decade."
435,Definition White Burgundy 2019,Chardonnay,"Uncork ‘white Burgundy’ and you’re likely drinking Bourgogne Blanc. Ripe. Zingy. It’s the gold-standard for gently oaked Chardonnay the world over. No wonder it’s one of our most popular wine styles – and a no-brainer addition to our Definition range. Burgundy can be a complex region to get your head around with all those appellations and classifications. By contrast, ‘White Burgundy’ is a catch-all term for anything which isn’t from a designated area – a great label to look for if you’re after value as well as quality. Full of citrus, ripe apples and stone fruit flavours, it’s zingy but also creamy from being aged in barrels for eight months. This is the wine your Saturday roast chicken needs. Proof that we’ll only put our names to the best of the best – that’s the Definition promise."
436,"Sterling 'Vintner's Collection' Cabernet Sauvignon 2017, California",Cabernet Sauvignon,"Oxford scholar and former Financial Times writer Peter Newton founded Sterling Vineyards in 1964. He salvaged bells from St. Dunstan's Church, East London, and restored them on his Napa Valley winery. In the present day, the winery sources the ripest grapes from the Central Coast of California to make this Cabernet Sauvignon, which spends six months in oak. It's full-bodied with notes of blackberry, caramel and mocha."
437,"Tasmanian Vintners ‘Anon’ Pinot Noir 2016, Tasmania",Pinot Noir,"The demanding Pinot Noir grape struggles in many of Australia’s hot climates. But in the red basalt soils on the cooler-climate island of Tasmania, it benefits from a luxuriously long ripening season. This area produces less than 1% of Australian wine – but when you find the right Pinot, you can really win big. This is an ethereal Pinot Noir with a savoury complexity. It has excellent notes of strawberry, plum, mocha and oak spice. Pair this with barbecue beef"
438,"Duluc de Branaire-Ducru 2014, Saint-Julien",Cabernet Sauvignon,"This is the second wine of Château Branaire-Ducru. But it's no second best. It's made from grapes hand-picked from 35-year-old vines and has an excellent length. Expect notes of ripe red fruits and sweet spice, a supple palate and fine-grained tannins. Pair this with roast beef."
439,"J Vineyards 'J Cuvée 20 Brut', Russian River Valley",Chardonnay,"The Russian River Valley is a bit of a hidden gem. Cool fogs and a maritime influence provide a long ripening season for thin-skinned grapes. J Vineyards make the most of it. Here winemaker Nicole Hitchcock is producing cool-climate sparkling wine that competes with the best of the Old World. The J Cuvée 20 Brut has an elegant mousse and a complex palate of lemon meringue, apple, and ginger snap. Decanter gave it 96 points."
440,Famille Roux Saint-Aubin Premier Cru 2018,Chardonnay,"Saint-Aubin sits between Puligny and Chassagne Montrachet. But prices here remain reasonable. The Roux family's St Aubin expertise has been handed down from father to son since the 19th century. And their wines are sold in the finest restaurants and hotels around the world. This is made from Premier Cru St Aubin vineyards. It has flavours of grape, toasted almond and hazelnut. Serve at 12-14 degrees with lobster."
441,Henri de Villamont 'Les Groseilles' Chambolle-Musigny Premier Cru 2014,Pinot Noir,"From their 18th century cellars to their long-serving team, tradition is everything at Henri de Villamont. They have fantastic relationships with local grape-growers. So their wines are made from some of the Côte de Nuits’ most coveted vineyards. This is made from grapes from the tiny Chambolle-Musigny appelation. It's full-bodied and smooth, with notes of raspberries, strawberries and violets. Drink now at room temperature with strong cheeses."
442,"Château Grand-Puy-Lacoste 2013, Pauillac",Cabernet Sauvignon,"Château Grand-Puy-Lacoste is one of the oldest properties in the Médoc. But that doesn’t mean they rest on their laurels. Winemaker Phillipe Gouze is constantly innovating through a combination of traditional and modern technology. This 2013 vintage is yet another of his successes. It's linear and well-balanced, with flavours of black fruit, creamy cassis and a touch of vanilla spice. Decant for an hour before serving at room temperature. Divine with stroganoff."
443,"Domaine Gérard Thomas et Filles Saint Aubin 1er Cru 2018, Sous Roche Dumay",Chardonnay,"Saint Aubin is the place to go for Montrachet doppelgängers at a lower price. Domaine Gérard Thomas et Filles is one of the region's finest producers. And this is made on the acclaimed Sous Roche Dumay premier cru. Expect notes of stone fruits, vanilla, hazelnut and cream. Try this with white fish."
444,Bouchard Père & Fils 'Les Lavières' Savigny-lès-Beaune Premier Cru 2014,Pinot Noir,"Bouchard Père & Fils is one of the oldest estates in Burgundy. It's been going strong for nearly three centuries. Behind it is a passion for crafting truly exceptional wine. This continues with winemaker Frédéric Weber. His care and patience has upheld the estate’s reputation for excellence for almost 20 years. You'll taste it in this great-value red Burgundy. It has intense notes of dark fruit, a lively acidity and a great tannic structure. Serve this at room temperature with roast chicken. Drink now or age for up to seven years."
445,"Gevrey-Chambertin 2018, Alexandre Gauvin",Pinot Noir,"Gevrey-Chambertin is home to some of the world's most prestigious and expensive red wines. You'll find more grand cru vineyards here than anywhere else in Burgundy. Forget any assumption you have that Pinor Noir is soft and easy-drinking! Here, it's full-bodied, structured and develops wondrously with age. It's known as the king of Burgundy wines for very good reason!"
446,Côte de Nuits-Villages 2016 Nicolas Potel,Pinot Noir,"Côte de Nuits-Villages is essentially the northern sister appellation of the better-known Côte de Beaune-Villages in the south of Burgundy. Covering a range of respected village appellations with some excellent sites, the region produces very consistent quality. Offers the classic Pinot Noir nose of ripe red berries, with some darker hints of blackberry and liquorice. Ripe yet nicely taut on the palate, with a smooth texture lifted by a lipsmacking acidity. A great partner for poultry dishes, especially duck or turkey, but will also stand up to red meats and feathered game."
447,Red Burgundy Reserve Côte d'Or 2016 Labouré-Roi,Pinot Noir,"A deliberately soft and juicy style of red Burgundy, blending Pinot Noir and Gamay in the traditional 'passetoutgrains' style. The grapes undergo thorough de-stemming to remove any harsh tannins, before fermentation and at least 6 months' maturation prior to bottling. Light in weight, with a juicy summer-fruit character, where bright flavours of raspberry and strawberry abound. Minimal tannins and a good dash of acidity keep the fruit feeling fresh and lively. Drink at cellar temperature with cold cuts, salads, or mild cheese."
448,"Planeta Chardonnay 2018/19, Sicily",Chardonnay,"Planeta began with a dream to put Sicily on the world map. But how do you convince the naysayers? You speak their language – Chardonnay. This is now a Sicilian icon that's enjoyed the world over. So it's fair to say they nailed the brief. It's rich and creamy, with notes of yellow peach, honey, toast and marzipan. Fantastic lightly chilled with turkey."
449,"Petaluma Chardonnay 2019, Piccadilly Valley",Chardonnay,"Taken from the cool Piccadilly Valley of the Adelaide Hills, Petaluma Chardonnay's creamy, turbocharged palate of cashews, butter and grapefruit won a huge 95 points and a Gold medal at the 2019 Decanter World Wine Awards. That's yet another trophy for the former 'Decanter Man of the Year' Brian Croser, who changed the wine world forever at Hardy's."
450,Big Bombora Chardonnay 2017,Chardonnay,"Made from grapes grown in Southern Australia, this wine benefits from warm summers to give a fantastically rich and full bodied white wine Pale straw yellow with youthful green hues. A nose of citrus fruits and ripe apples, with underlying notes of vanilla. Crisp lemon and lime on the palate, served up with a rounded and buttery feel. A great partner for chicken or even pork. With its rich flavour it works well with any dish that has a creamy sauce."
451,"Jackson Estate 'Somerset' Pinot Noir 2015, Marlborough",Pinot Noir,"Jackson Estate makes the Somerset from hand-picked grapes on a tiny vineyard that has heavy clay soils and a cool climate. The result is a Waihopai River Pinot Noir that takes on the best red Burgundy. But less than 300 cases are made only in the very best years. Expect an intense, concentrated red-fruit character, aromas of rose petal and violet and hints of spice."
452,A Sticky End Noble Sauvignon Blanc Half Bottle,Sauvignon Blanc,"This dessert wine from Marisco Vineyards' King's Series is made from Sauvignon Blanc grapes that have been allowed extra hang-time on the vine, giving them extra ripeness and promoting the onset of botrytis, creating intense sweetness and complex flavours. Enticing and expressive on the nose, which offers ripe peach and lychee and fig, alongside subtle nutty notes. Intensely concentrated flavours of honey and ripe nectarine with a citrus lift. Drink now or cellar for 2-3 years for more flavour development. Partner with summer fruit puddings."
453,Waimea Estate Pinot Noir 2017 Nelson,Pinot Noir,"Grown in Nelson, to the west of Marlborough, on stony loam soils with high sunshine hours and a moderating Maritime influence. The winemaking philosophy blends Old World techniques with pioneering methods now becoming commonplace in the New World. An elegant nose of black cherry, rose petal, cranberry and subtle oak with hints of spice. A medium bodied wine with luscious dark cherry, blossom fruits, silky soft tannins, and a generous mouthfeel. An excellent partner to red meat and game dishes or mushroom flavoured sauces. A wine to be enjoyed over the next four years."
454,Black Cottage Sauvignon Blanc 2016 Marlborough,Sauvignon Blanc,"Winemaker David Clouston spent a number of years working at wineries in the USA, France, Spain and Chile before returning to his native Marlborough, and now lives in a black-painted wooden cottage in the Wairau Valley after which the winery is named. Bright, pale yellow, with lime green tinges. Offers aromas of gooseberries with a hint of lychee and a leafy complexity. Tropical and herbaceous characters continue on the crisply acidic palate. Drink with mildly pungent cheeses such as feta or chêvre, or with a crayfish salad."
455,"Catena Alta Chardonnay 2018, Mendoza",Chardonnay,"Catena Zapata won Drinks International Magazine's 'World's Most Admired Wine Brand 2020'. Their expertise is in high-altitude winemaking. And this is made on vineyards towering up to 4,757 metres above sea level. Chardonnay grapes benefit from a long ripening period at this height. So this is understandably delicious. It has notes of pear, peach, citrus and jasmine. Serve this lightly chilled with sushi."
456,Morande M Chardonnay 2019,Chardonnay,"The Belén Estate in Chile's Casablanca Valley is perfect for growing grapes that make fresh, fruit driven wines. The clay and granite soils are not too fertile and the maritime influences allows the grapes to ripen slowly retaining delicious fruit flavours. This fine, fresh Chardonnay is all about fruit with an abundance of citrus, pear, apple and pineapple flavours. Try this with marinated meaty white fish."
457,"Château Meyney 2013, Saint-Estèphe",Cabernet Sauvignon,"Château Meyney's grand vin is made up predominantly of Cabernet Sauvignon and Merlot, with a dash of Petit Verdot. Its notes of blackberry, raspberry, graphite and sweet spices are framed by snappy tannins, and it's just hitting its prime now."
458,"Dusky Sounds Sauvignon Blanc 2019, Marlborough",Sauvignon Blanc,"With flocks of exotic birds, steep-sided mountains and a deep flowing river, Dusky Sounds is a unique, enchanting spot of Marlborough. Its Sauvignon Blanc grapes are soaked in sun, producing this refreshing, crisp wine with heady hints of passion fruit, citrus and gooseberry."
459,Caves des Grand Crus Blancs Pouilly-Vinzelles 2019,Chardonnay,"Caves des Grand Crus are a co-operative bringing exceptional value to famously expensive Burgundy areas. And they don't compromise on quality. This rich white Burgundy is a case in point. It's expressive and complex with notes of soft peach, hazel and toast from oak ageing. Serve with chicken in a creamy sauce."
460,"Chablis 1er Cru Vauligneau 2017, Domaine Michaut Freres",Chardonnay,This wine is all about finesse with elegant flavours of citrus and acacia flowers wrapped in a rounded mouth feel and followed by a fine mineral finish.
461,Dom St Jean de la Cavalerie Chardonnay 2019,Chardonnay,"This fresh and delicate Chardonnay has abundant floral elegance and richer cedar notes which add layers of complexity to the fine apricot and peach fruit flavours This fresh and delicate Chardonnay has abundant floral elegance and richer cedar notes which add layers of complexity to the fine apricot and peach fruit flavours Enjoy with your Sunday Roast chicken with the family, even in the in-laws. Or purely enjoy this by itself, fresh out the fridge to capture those fresher citrus fruits."
462,"Château Montelena Chardonnay 2015, Napa Valley",Chardonnay,"Château Montelena paved the way for Napa Valley wine when beating the best of Burgundy at the famous Judgement of Paris 1976. And their Chardonnay is still excellent today. It has notes of apple, citrus, nectarine and subtle oak that are fantastic with Plaice. Serve lightly chilled."
463,"Castaway Island Sauvignon Blanc 2018, Marlborough",Sauvignon Blanc,"Teeming with gooseberry, fresh-cut grass and citrus, Castaway Island cuts no corners. It's unashamedly Marlborough, showing that you can still sip delicious Kiwi Sauvignon at a pocket-friendly price."
464,Wakefield 'Visionary' Cabernet Sauvignon 2010 2010,Cabernet Sauvignon,"Made from the very best fruit nourished by 40-year-old vines on the estate's finest vineyards, aged in oak for two years and two in the bottle, the 'Visionary' is the top Cabernet Wakefield makes under £500. It's a structured bouquet of black fruits, olive, vanilla, cedar and mint that's framed by silky tannins and chased by a seemingly endless finish. Decanter gave it 95 points."
465,Jackson Estate Outland Ridge Pinot Noir 2014,Pinot Noir,"You might think California is too hot for the demanding Pinot Noir grape. But in the cooler spots of Anderson Valley, it's in heaven. Jackson Estate plucks it's grapes from mountain-ridge-clinging vines to make this 92-point cocktail of black cherry, plum, strawberry and vanilla."
466,Cloudburst Chardonnay 2014,Chardonnay,"Cloudburst is a Margaret River winery created to make Australia's greatest Chardonnay. Each vintage made on its tiny half-hectare vineyard is limited to around 3,000 bottles, and this is the second arrival to ever reach UK shores. Made with biodynamic practices, oaked yet deliciously mineral, this 2014 vintage's textured hints of ginger, allspice and apricot and intense finish scored 95+ Parker Points."
467,Domaine Hubert Bouzereau-Gruère et Filles Meursault 2018,Chardonnay,"This estate was founded by Hubert Bouzereau, a Meursault native, and Marie-France Gruère, from the nearby Chassagne-Montrachet. It’s now in the expert hands of their daughters, Marie-Laure and Marie-Anne, who won the Trophée des Jeunes Talents (Young Talents Trophy) in 2002. And this is an exceptional Meursault. Old vines produce the tastiest grapes. And the average vine age on this vineyard is 35-40 years old. The result is long, structured and tastes even better with age. This is exactly why Meursault is one of Burgundy’s most celebrated spots. It’s creamy and rich, with notes of toasted almond, honey, hazelnut and flint. At its best with cod."
468,"Comte de Baulieu 2018, Haut-Médoc",Cabernet Sauvignon,"‘Second wines’ are a bit of an insider secret. Savvy claret lovers know that these wines use grapes from the younger vines of top châteaux – so they’re great quality, but a fraction of the price of the top bottles. This is one such ‘second wine’, using the younger vines of top Cru Bourgeois property Château Ramage la Batisse – Lafite’s neighbour. It’s an Haut-Médoc, so it’s predominantly Cabernet Sauvignon which gives it a great tannic structure. But unlike typical clarets which are aged in oak, this is aged exclusively in stainless steel and concrete vats. It keeps the fruit flavours really bright and fresh – so it's packed with briar fruit flavours and woody spice. Youthful. Approachable. Richly fruity. It’s perfect for drinking now – and is delicious with grilled lamb chops."
